track_condition_id,date,week_day,cushion_value,moisture_turf_goal,moisture_turf_4c,moisture_dirt_goal,moisture_dirt_4c
201801010001,2018-07-27,fr,,11.7,10.8,2.8,2.3
201801010004,2018-08-03,fr,,13.2,13.6,2.1,1.9
201801010007,2018-08-10,fr,,14.5,13.8,8.2,7.8
201801010102,2018-07-28,sa,,12.6,13.4,2.8,2.6
201801010203,2018-07-29,su,,12.4,11.9,2.3,2.8
201801010305,2018-08-04,sa,,13.7,14.2,3.1,3.0
201801010406,2018-08-05,su,,12.6,12.7,2.5,2.3
201801010508,2018-08-11,sa,,16.5,15.8,17.7,17.8
201801010609,2018-08-12,su,,14.0,13.0,13.6,14.4
201801020001,2018-08-17,fr,,12.2,13.1,17.2,16.5
201801020004,2018-08-24,fr,,10.3,11.2,8.2,7.9
201801020007,2018-08-31,fr,,11.5,12.0,11.9,11.6
201801020102,2018-08-18,sa,,11.6,11.4,12.8,11.5
201801020203,2018-08-19,su,,11.7,11.7,10.4,9.4
201801020305,2018-08-25,sa,,12.4,12.6,9.7,9.4
201801020406,2018-08-26,su,,12.0,12.8,14.9,16.0
201801020508,2018-09-01,sa,,12.6,13.7,13.9,13.8
201801020609,2018-09-02,su,,10.6,11.9,6.7,6.8
201803030001,2018-11-02,fr,,12.0,12.4,6.7,7.4
201803030004,2018-11-09,fr,,12.2,13.2,6.2,5.4
201803030007,2018-11-16,fr,,11.0,12.0,2.9,3.5
201803030102,2018-11-03,sa,,10.2,12.5,5.8,7.3
201803030203,2018-11-04,su,,10.1,13.0,5.7,6.2
201803030305,2018-11-10,sa,,12.4,14.0,6.4,7.1
201803030406,2018-11-11,su,,11.3,13.0,5.7,6.5
201803030508,2018-11-17,sa,,10.1,13.0,2.8,3.1
201803030609,2018-11-18,su,,11.9,13.3,2.8,2.4
201804020001,2018-07-27,fr,,12.4,13.4,1.9,2.4
201804020004,2018-08-03,fr,,11.6,12.1,1.2,1.3
201804020007,2018-08-10,fr,,11.7,11.6,5.8,6.2
201804020010,2018-08-17,fr,,13.8,14.0,12.6,11.8
201804020013,2018-08-24,fr,,11.8,10.1,4.2,3.5
201804020016,2018-08-31,fr,,17.7,20.0,16.5,16.3
201804020102,2018-07-28,sa,,11.9,13.9,2.3,1.9
201804020203,2018-07-29,su,,11.9,13.9,2.8,1.7
201804020305,2018-08-04,sa,,12.4,13.8,2.3,2.2
201804020406,2018-08-05,su,,12.9,13.3,2.8,2.0
201804020508,2018-08-11,sa,,12.9,12.8,6.5,5.8
201804020609,2018-08-12,su,,10.8,12.7,4.2,4.6
201804020711,2018-08-18,sa,,12.5,13.2,10.5,11.4
201804020812,2018-08-19,su,,10.9,12.0,8.2,7.4
201804020914,2018-08-25,sa,,10.6,12.3,2.6,3.2
201804021015,2018-08-26,su,,12.7,13.9,10.4,10.9
201804021117,2018-09-01,sa,,17.7,18.5,15.7,16.9
201804021218,2018-09-02,su,,13.2,13.4,13.4,11.7
201804030001,2018-10-12,fr,,13.2,14.2,16.2,15.6
201804030004,2018-10-19,fr,,11.2,12.9,10.7,9.0
201804030007,2018-10-26,fr,,11.3,11.6,8.3,8.6
201804030102,2018-10-13,sa,,12.9,13.1,14.2,12.2
201804030203,2018-10-14,su,,10.9,11.5,11.8,11.8
201804030305,2018-10-20,sa,,13.6,13.0,10.7,11.1
201804030406,2018-10-21,su,,11.6,12.8,10.0,9.5
201804030508,2018-10-27,sa,,12.2,12.1,7.6,8.2
201804030609,2018-10-28,su,,13.4,13.9,14.4,15.4
201805040001,2018-10-05,fr,,14.8,15.9,4.2,5.2
201805040005,2018-10-12,fr,,17.2,19.6,5.7,6.2
201805040008,2018-10-19,fr,,14.3,14.6,5.5,5.4
201805040011,2018-10-26,fr,,14.5,12.9,2.4,1.8
201805040102,2018-10-06,sa,,16.9,17.7,11.5,12.0
201805040203,2018-10-07,su,,16.5,16.2,8.2,8.1
201805040304,2018-10-08,mo,,13.7,16.1,5.6,5.7
201805040406,2018-10-13,sa,,12.8,15.4,3.4,3.9
201805040507,2018-10-14,su,,17.7,19.1,13.1,12.9
201805040609,2018-10-20,sa,,13.1,15.8,5.3,5.1
201805040710,2018-10-21,su,,15.2,15.3,6.2,5.8
201805040812,2018-10-27,sa,,18.5,16.4,7.3,7.1
201805040913,2018-10-28,su,,13.8,16.4,5.8,5.2
201805050001,2018-11-02,fr,,13.7,15.7,3.9,4.1
201805050004,2018-11-09,fr,,14.4,14.1,5.7,6.4
201805050007,2018-11-16,fr,,12.1,12.7,4.6,4.0
201805050010,2018-11-23,fr,,11.9,12.0,3.3,2.8
201805050102,2018-11-03,sa,,14.1,15.2,3.6,3.5
201805050203,2018-11-04,su,,16.0,14.2,2.6,3.0
201805050305,2018-11-10,sa,,17.1,16.8,8.8,8.6
201805050406,2018-11-11,su,,15.9,15.1,7.0,8.9
201805050508,2018-11-17,sa,,12.8,13.1,3.4,2.4
201805050609,2018-11-18,su,,14.0,14.3,2.5,2.3
201805050711,2018-11-24,sa,,13.3,12.2,2.6,2.0
201805050812,2018-11-25,su,,12.5,12.1,2.1,2.8
201806040001,2018-09-07,fr,,11.1,11.5,2.1,2.2
201806040004,2018-09-14,fr,,9.7,10.0,6.3,6.9
201806040008,2018-09-21,fr,,13.9,13.2,15.7,15.8
201806040011,2018-09-28,fr,,12.4,11.8,11.0,10.8
201806040102,2018-09-08,sa,,12.1,11.4,2.7,2.6
201806040203,2018-09-09,su,,9.4,9.3,1.7,1.8
201806040305,2018-09-15,sa,,12.3,10.3,4.7,7.3
201806040406,2018-09-16,su,,11.7,12.0,6.5,8.1
201806040507,2018-09-17,mo,,11.6,12.7,4.3,6.1
201806040609,2018-09-22,sa,,14.2,13.6,12.9,12.5
201806040710,2018-09-23,su,,12.1,11.9,9.2,10.0
201806040812,2018-09-29,sa,,12.4,11.1,5.6,9.4
201806040913,2018-09-30,su,,14.6,14.3,14.0,16.5
201806050001,2018-11-30,fr,,9.3,9.0,2.0,2.3
201806050004,2018-12-07,fr,,11.7,12.0,7.9,9.3
201806050007,2018-12-14,fr,,10.7,11.0,7.4,8.6
201806050010,2018-12-21,fr,,10.0,10.3,3.2,3.6
201806050013,2018-12-27,th,,9.4,9.5,3.1,3.0
201806050102,2018-12-01,sa,,10.2,8.5,2.8,2.7
201806050203,2018-12-02,su,,9.5,9.7,2.4,3.2
201806050305,2018-12-08,sa,,10.4,10.2,4.9,8.5
201806050406,2018-12-09,su,,10.1,10.6,3.6,5.3
201806050508,2018-12-15,sa,,9.6,10.8,5.8,8.2
